# trial: trial_012.csv
# date: 2026-08-01T17:45:04
# note: gyro axis ID: 3x slow cycle upright-forward-upright-backward, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
3414,-1.93,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.06,-0.03
3434,-1.97,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.11,0.03
3454,-2.29,-2.12,-0.11,0.0,0.0,0.0,0,5000,0.03,-0.06
3475,-2.24,-2.11,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.00
3495,-2.07,-2.11,-0.05,0.0,0.0,0.0,0,5000,-0.05,0.08
3516,-2.25,-2.12,-0.03,0.0,0.0,0.0,0,5004,0.02,0.03
3536,-2.03,-2.12,-0.09,0.0,0.0,0.0,0,5004,-0.08,0.02
3557,-2.07,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.06,0.03
3577,-2.19,-2.13,0.00,0.0,0.0,0.0,0,5004,-0.02,0.08
3598,-2.16,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.03,-0.03
3618,-2.15,-2.13,-0.02,0.0,0.0,0.0,0,5004,-0.02,0.08
3639,-1.82,-2.12,-0.06,0.0,0.0,0.0,0,5004,-0.06,0.06
3659,-2.00,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.05,0.00
3680,-2.20,-2.11,0.05,0.0,0.0,0.0,0,5004,0.02,-0.03
3700,-2.02,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.02
3721,-1.99,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.08,0.06
3740,-2.32,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.05,-0.08
3761,-2.08,-2.12,-0.06,0.0,0.0,0.0,0,5000,-0.03,-0.06
3781,-2.01,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,-0.06
3802,-2.26,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,-0.03
3822,-2.12,-2.13,0.00,0.0,0.0,0.0,0,5004,0.00,-0.02
3843,-2.11,-2.12,0.09,0.0,0.0,0.0,0,5000,0.02,0.00
3863,-2.19,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.05,-0.02
3884,-2.18,-2.12,-0.11,0.0,0.0,0.0,0,5000,0.00,-0.05
3904,-2.19,-2.12,0.02,0.0,0.0,0.0,0,5004,0.02,0.03
3924,-2.27,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,0.06
3945,-1.91,-2.11,0.02,0.0,0.0,0.0,0,5004,0.03,0.00
3965,-2.13,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.00,0.03
3986,-2.09,-2.11,0.05,0.0,0.0,0.0,0,5000,-0.03,-0.05
4006,-2.24,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.05,-0.05
4026,-2.21,-2.11,0.02,0.0,0.0,0.0,0,5004,-0.03,0.00
4046,-2.18,-2.11,0.00,0.0,0.0,0.0,0,5000,0.03,0.02
4067,-2.22,-2.12,-0.03,0.0,0.0,0.0,0,5000,-0.02,-0.02
4087,-2.02,-2.12,0.05,0.0,0.0,0.0,0,5000,0.02,0.02
4108,-2.05,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
4128,-2.10,-2.12,0.03,0.0,0.0,0.0,0,5000,-0.02,0.05
4149,-2.02,-2.12,0.05,0.0,0.0,0.0,0,5004,0.00,-0.02
4169,-2.03,-2.11,0.00,0.0,0.0,0.0,0,5000,-0.03,0.00
4190,-2.16,-2.11,-0.05,0.0,0.0,0.0,0,5004,-0.06,0.00
4210,-2.08,-2.11,-0.06,0.0,0.0,0.0,0,5004,0.05,-0.02
4231,-2.25,-2.11,0.06,0.0,0.0,0.0,0,5004,-0.03,-0.06
4251,-2.16,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.00,-0.05
4272,-1.90,-2.11,-0.06,0.0,0.0,0.0,0,5004,0.02,-0.02
4292,-1.80,-2.10,-0.06,0.0,0.0,0.0,0,5004,0.02,0.03
4312,-2.04,-2.09,0.00,0.0,0.0,0.0,0,5004,0.00,0.05
4332,-2.18,-2.10,-0.09,0.0,0.0,0.0,0,5000,0.11,0.00
4353,-1.99,-2.10,-0.02,0.0,0.0,0.0,0,5004,0.05,0.03
4373,-2.11,-2.10,-0.03,0.0,0.0,0.0,0,5004,0.05,0.02
4393,-2.24,-2.11,-0.11,0.0,0.0,0.0,0,5000,0.06,-0.06
4414,-2.13,-2.11,0.00,0.0,0.0,0.0,0,5004,0.00,-0.09
4434,-2.22,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.06,0.03
4455,-2.14,-2.11,-0.06,0.0,0.0,0.0,0,5004,0.00,0.03
4475,-2.23,-2.12,-0.08,0.0,0.0,0.0,0,5004,-0.03,-0.02
4496,-2.11,-2.12,0.00,0.0,0.0,0.0,0,5004,0.00,0.06
4516,-2.15,-2.12,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
4537,-2.16,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
4557,-2.13,-2.12,-0.08,0.0,0.0,0.0,0,5000,0.06,-0.03
4578,-2.12,-2.13,-0.03,0.0,0.0,0.0,0,5004,-0.11,0.02
4597,-2.29,-2.14,-0.03,0.0,0.0,0.0,0,5000,0.00,-0.06
4618,-2.26,-2.15,-0.08,0.0,0.0,0.0,0,5000,0.02,0.03
4638,-2.01,-2.15,0.03,0.0,0.0,0.0,0,5004,0.02,-0.06
4659,-2.03,-2.15,-0.08,0.0,0.0,0.0,0,5000,0.03,-0.03
4679,-2.09,-2.15,0.02,0.0,0.0,0.0,0,5004,-0.05,0.06
4700,-2.32,-2.15,-0.03,0.0,0.0,0.0,0,5004,-0.02,0.06
4720,-2.37,-2.15,0.00,0.0,0.0,0.0,0,5004,0.06,-0.03
4741,-2.11,-2.16,-0.11,0.0,0.0,0.0,0,5000,-0.03,-0.06
4761,-2.21,-2.16,-0.02,0.0,0.0,0.0,0,5000,0.03,-0.03
4782,-2.12,-2.16,0.03,0.0,0.0,0.0,0,5004,0.05,0.08
4802,-2.33,-2.17,-0.06,0.0,0.0,0.0,0,5000,-0.02,-0.02
4823,-2.16,-2.16,-0.06,0.0,0.0,0.0,0,5000,-0.05,0.00
4843,-1.95,-2.15,-0.05,0.0,0.0,0.0,0,5004,0.06,0.00
4864,-2.12,-2.15,0.00,0.0,0.0,0.0,0,5000,-0.02,0.00
4884,-2.20,-2.15,-0.02,0.0,0.0,0.0,0,5000,0.03,-0.02
4904,-2.10,-2.15,-0.02,0.0,0.0,0.0,0,5000,-0.03,-0.03
4924,-2.23,-2.15,-0.03,0.0,0.0,0.0,0,5000,-0.03,0.03
4944,-2.19,-2.16,-0.05,0.0,0.0,0.0,0,5000,-0.02,-0.03
4965,-2.25,-2.16,-0.03,0.0,0.0,0.0,0,5000,0.00,0.02
4985,-2.02,-2.16,-0.06,0.0,0.0,0.0,0,5004,0.00,-0.02
5006,-2.13,-2.16,-0.05,0.0,0.0,0.0,0,5004,-0.03,-0.03
5026,-2.10,-2.15,0.05,0.0,0.0,0.0,0,5004,-0.06,-0.03
5047,-2.02,-2.15,-0.06,0.0,0.0,0.0,0,5004,0.00,0.05
5067,-2.20,-2.15,-0.09,0.0,0.0,0.0,0,5000,-0.03,-0.09
5088,-2.12,-2.15,0.02,0.0,0.0,0.0,0,5000,0.02,0.06
5108,-2.05,-2.14,-0.02,0.0,0.0,0.0,0,5000,-0.09,-0.05
5129,-2.13,-2.14,0.03,0.0,0.0,0.0,0,5004,0.02,-0.05
5149,-2.05,-2.13,-0.12,0.0,0.0,0.0,0,5004,0.05,0.03
5170,-2.02,-2.12,-0.03,0.0,0.0,0.0,0,5004,-0.02,0.05
5190,-2.27,-2.13,0.05,0.0,0.0,0.0,0,5004,0.08,-0.02
5211,-2.20,-2.13,-0.11,0.0,0.0,0.0,0,5000,-0.02,0.02
5231,-1.97,-2.12,-0.03,0.0,0.0,0.0,0,5000,-0.02,0.03
5252,-2.11,-2.12,0.12,0.0,0.0,0.0,0,5004,0.02,0.02
5272,-2.13,-2.12,-0.03,0.0,0.0,0.0,0,5004,-0.02,-0.03
5293,-2.12,-2.11,0.02,0.0,0.0,0.0,0,5004,-0.03,-0.03
5313,-1.85,-2.10,0.06,0.0,0.0,0.0,0,5000,0.05,-0.03
5332,-1.90,-2.09,-0.03,0.0,0.0,0.0,0,5000,0.00,-0.05
5353,-2.12,-2.09,0.03,0.0,0.0,0.0,0,5004,-0.05,0.02
5373,-2.14,-2.09,0.02,0.0,0.0,0.0,0,5000,0.00,0.00
5394,-2.14,-2.09,-0.09,0.0,0.0,0.0,0,5004,0.05,-0.05
5414,-2.19,-2.08,-0.05,0.0,0.0,0.0,0,5000,0.11,0.00
5435,-2.16,-2.10,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.02
5455,-1.92,-2.10,-0.06,0.0,0.0,0.0,0,5004,0.00,0.02
5476,-2.01,-2.09,-0.05,0.0,0.0,0.0,0,5000,0.08,0.05
5496,-2.19,-2.09,-0.06,0.0,0.0,0.0,0,5004,-0.02,0.05
5517,-2.24,-2.10,0.00,0.0,0.0,0.0,0,5000,-0.05,0.08
5537,-2.22,-2.10,0.03,0.0,0.0,0.0,0,5000,-0.05,0.12
5558,-2.15,-2.10,-0.08,0.0,0.0,0.0,0,5000,0.02,-0.05
5578,-2.09,-2.10,0.03,0.0,0.0,0.0,0,5000,-0.02,-0.02
5599,-2.29,-2.10,-0.05,0.0,0.0,0.0,0,5004,0.03,0.02
5618,-1.95,-2.10,-0.02,0.0,0.0,0.0,0,5004,-0.09,-0.05
5639,-2.03,-2.09,0.08,0.0,0.0,0.0,0,5004,-0.03,-0.05
5659,-2.12,-2.10,0.02,0.0,0.0,0.0,0,5000,-0.03,-0.02
5680,-2.16,-2.10,-0.05,0.0,0.0,0.0,0,5000,0.00,-0.02
5700,-2.20,-2.11,0.00,0.0,0.0,0.0,0,5000,0.02,0.03
5721,-2.17,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.00,0.05
5741,-2.11,-2.12,-0.05,0.0,0.0,0.0,0,5000,0.06,-0.05
5762,-2.28,-2.12,-0.03,0.0,0.0,0.0,0,5004,0.02,0.02
5782,-2.12,-2.12,-0.05,0.0,0.0,0.0,0,5004,-0.05,0.05
5803,-2.18,-2.12,-0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
5823,-2.20,-2.11,-0.08,0.0,0.0,0.0,0,5000,0.03,-0.05
5843,-1.94,-2.10,-0.06,0.0,0.0,0.0,0,5000,0.02,-0.06
5864,-2.13,-2.10,-0.08,0.0,0.0,0.0,0,5000,0.00,-0.05
5884,-2.12,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
5905,-2.03,-2.10,-0.08,0.0,0.0,0.0,0,5000,0.03,0.00
5924,-2.20,-2.11,-0.05,0.0,0.0,0.0,0,5004,-0.02,0.00
5945,-2.14,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.11,-0.05
5965,-2.24,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.03,-0.03
5986,-2.23,-2.12,-0.09,0.0,0.0,0.0,0,5004,0.02,0.02
6006,-2.09,-2.12,-0.08,0.0,0.0,0.0,0,5000,0.00,-0.05
6027,-2.29,-2.13,0.00,0.0,0.0,0.0,0,5000,0.03,0.02
6047,-2.20,-2.14,-0.02,0.0,0.0,0.0,0,5004,-0.03,-0.03
6068,-1.99,-2.13,0.00,0.0,0.0,0.0,0,5000,0.05,0.00
6088,-1.93,-2.12,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
6109,-2.34,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.03,-0.06
6129,-2.01,-2.12,-0.05,0.0,0.0,0.0,0,5000,-0.06,0.09
6150,-2.08,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.03,-0.03
6170,-2.15,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.03,0.02
6191,-2.21,-2.11,-0.08,0.0,0.0,0.0,0,5004,0.08,0.00
6211,-2.15,-2.12,0.00,0.0,0.0,0.0,0,5000,-0.02,0.05
6231,-2.21,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.08
6251,-2.20,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.06,-0.05
6272,-1.99,-2.11,-0.09,0.0,0.0,0.0,0,5004,-0.03,0.00
6292,-2.27,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.00,-0.03
6312,-2.04,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.03,0.03
6333,-2.12,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.03,-0.02
6353,-2.01,-2.11,0.06,0.0,0.0,0.0,0,5000,-0.02,-0.05
6374,-2.23,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.05,-0.02
6394,-2.20,-2.12,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.02
6415,-2.21,-2.12,0.00,0.0,0.0,0.0,0,5004,0.03,0.00
6435,-2.19,-2.13,-0.05,0.0,0.0,0.0,0,5000,0.02,-0.02
6456,-2.08,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.03,-0.05
6476,-2.02,-2.13,0.03,0.0,0.0,0.0,0,5004,0.02,-0.03
6497,-2.07,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.05,0.03
6517,-2.10,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.00,-0.03
6537,-2.12,-2.13,-0.02,0.0,0.0,0.0,0,5000,0.02,0.00
6557,-2.07,-2.12,0.03,0.0,0.0,0.0,0,5004,0.08,-0.06
6578,-2.12,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.09,0.06
6598,-2.21,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.00,0.03
6619,-2.29,-2.12,-0.09,0.0,0.0,0.0,0,5004,0.06,0.08
