# trial: trial_013.csv
# date: 2026-08-01T17:46:25
# note: gyro axis ID take 2: 3x slow cycle fwd-up-back-up, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
3312,-2.14,-2.10,-0.05,0.0,0.0,0.0,0,5004,0.00,0.02
3333,-1.96,-2.10,0.00,0.0,0.0,0.0,0,5004,0.03,-0.06
3353,-2.08,-2.10,0.08,0.0,0.0,0.0,0,5000,0.02,0.03
3373,-2.15,-2.10,0.00,0.0,0.0,0.0,0,5000,-0.05,0.08
3393,-2.22,-2.10,0.03,0.0,0.0,0.0,0,5000,0.05,0.05
3414,-2.12,-2.10,-0.05,0.0,0.0,0.0,0,5004,0.06,-0.05
3434,-2.13,-2.10,0.08,0.0,0.0,0.0,0,5000,-0.03,0.06
3454,-2.16,-2.10,-0.06,0.0,0.0,0.0,0,5000,0.06,0.05
3475,-2.00,-2.10,0.00,0.0,0.0,0.0,0,5000,0.02,-0.03
3495,-2.09,-2.09,0.02,0.0,0.0,0.0,0,5000,0.03,-0.03
3516,-2.22,-2.10,0.11,0.0,0.0,0.0,0,5000,0.00,-0.02
3536,-2.03,-2.10,0.09,0.0,0.0,0.0,0,5004,0.12,0.02
3557,-2.11,-2.09,-0.02,0.0,0.0,0.0,0,5000,0.02,0.02
3577,-2.10,-2.09,-0.05,0.0,0.0,0.0,0,5000,0.09,0.00
3598,-2.12,-2.10,-0.02,0.0,0.0,0.0,0,5004,0.05,0.00
3618,-2.01,-2.10,0.08,0.0,0.0,0.0,0,5000,0.11,0.02
3638,-2.17,-2.10,0.03,0.0,0.0,0.0,0,5004,0.11,0.05
3658,-2.07,-2.10,0.05,0.0,0.0,0.0,0,5004,0.09,0.00
3679,-2.15,-2.11,-0.08,0.0,0.0,0.0,0,5004,0.03,0.03
3699,-2.15,-2.11,0.00,0.0,0.0,0.0,0,5004,0.09,0.03
3720,-2.36,-2.11,0.00,0.0,0.0,0.0,0,5004,0.09,-0.02
3740,-2.04,-2.11,0.05,0.0,0.0,0.0,0,5004,-0.03,0.00
3761,-2.07,-2.10,-0.11,0.0,0.0,0.0,0,5000,0.06,-0.03
3781,-2.00,-2.10,0.00,0.0,0.0,0.0,0,5000,0.06,0.00
3802,-2.27,-2.11,0.05,0.0,0.0,0.0,0,5004,0.02,0.00
3822,-2.02,-2.11,0.03,0.0,0.0,0.0,0,5004,-0.02,0.05
3843,-2.08,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.02,-0.05
3863,-2.24,-2.11,0.12,0.0,0.0,0.0,0,5004,-0.02,0.06
3883,-1.92,-2.11,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
3903,-2.12,-2.10,0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
3923,-1.99,-2.11,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
3944,-2.06,-2.10,0.02,0.0,0.0,0.0,0,5004,0.05,0.02
3964,-2.20,-2.11,0.08,0.0,0.0,0.0,0,5000,0.03,-0.02
3985,-2.11,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.05,-0.05
4005,-2.25,-2.11,-0.06,0.0,0.0,0.0,0,5004,0.06,-0.05
4026,-2.21,-2.12,0.11,0.0,0.0,0.0,0,5000,0.00,0.05
4046,-2.04,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,0.02
4067,-2.11,-2.12,-0.05,0.0,0.0,0.0,0,5000,-0.05,0.02
4087,-2.11,-2.11,0.00,0.0,0.0,0.0,0,5004,0.06,-0.02
4108,-2.11,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.08,-0.03
4128,-2.28,-2.12,0.00,0.0,0.0,0.0,0,5004,0.02,0.05
4149,-2.12,-2.12,-0.03,0.0,0.0,0.0,0,5004,0.02,-0.05
4169,-2.03,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.06,-0.02
4189,-2.08,-2.10,0.00,0.0,0.0,0.0,0,5004,0.06,-0.05
4209,-2.11,-2.10,0.00,0.0,0.0,0.0,0,5000,0.03,0.00
4230,-2.22,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.09,0.02
4250,-2.19,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.05,0.03
4271,-2.27,-2.11,-0.03,0.0,0.0,0.0,0,5004,-0.02,0.02
4291,-2.23,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.05,0.02
4312,-2.02,-2.12,0.02,0.0,0.0,0.0,0,5004,0.00,-0.06
4332,-2.06,-2.12,0.02,0.0,0.0,0.0,0,5004,0.02,0.03
4353,-2.14,-2.12,-0.06,0.0,0.0,0.0,0,5004,-0.02,-0.05
4373,-2.12,-2.12,0.00,0.0,0.0,0.0,0,5000,0.06,-0.06
4393,-2.16,-2.12,0.00,0.0,0.0,0.0,0,5004,0.02,0.00
4414,-2.12,-2.13,0.05,0.0,0.0,0.0,0,5000,0.02,0.00
4434,-1.97,-2.11,0.02,0.0,0.0,0.0,0,5004,0.05,-0.02
4455,-2.04,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.02,-0.02
4474,-2.15,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.00,0.00
4495,-1.97,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.02,0.08
4515,-2.28,-2.11,0.00,0.0,0.0,0.0,0,5000,0.05,-0.02
4536,-2.16,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
4556,-2.22,-2.11,-0.08,0.0,0.0,0.0,0,5000,-0.03,0.00
4577,-2.00,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.05,-0.03
4597,-2.11,-2.11,0.00,0.0,0.0,0.0,0,5004,0.05,-0.08
4618,-2.08,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.03,0.05
4638,-2.00,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.03
4659,-2.32,-2.11,0.05,0.0,0.0,0.0,0,5000,-0.05,-0.02
4679,-2.11,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.05,-0.03
4700,-2.08,-2.10,-0.05,0.0,0.0,0.0,0,5000,-0.06,-0.05
4720,-2.08,-2.10,-0.03,0.0,0.0,0.0,0,5004,-0.05,-0.02
4741,-2.15,-2.10,-0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
4761,-2.28,-2.11,-0.09,0.0,0.0,0.0,0,5004,0.03,0.00
4781,-2.20,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.08,0.02
4801,-2.19,-2.13,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.03
4822,-2.40,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
4842,-2.32,-2.14,0.03,0.0,0.0,0.0,0,5000,0.00,0.06
4862,-2.21,-2.14,0.02,0.0,0.0,0.0,0,5004,0.00,-0.03
4883,-2.18,-2.14,0.00,0.0,0.0,0.0,0,5004,-0.03,-0.02
4903,-2.25,-2.14,0.09,0.0,0.0,0.0,0,5000,-0.03,0.05
4924,-2.18,-2.15,0.00,0.0,0.0,0.0,0,5000,-0.03,0.02
4944,-2.08,-2.15,-0.05,0.0,0.0,0.0,0,5000,0.03,0.00
4965,-2.14,-2.15,-0.03,0.0,0.0,0.0,0,5000,0.06,0.05
4985,-2.24,-2.15,-0.05,0.0,0.0,0.0,0,5004,-0.02,0.05
5006,-2.13,-2.15,0.02,0.0,0.0,0.0,0,5000,-0.05,0.05
5026,-2.19,-2.15,-0.08,0.0,0.0,0.0,0,5000,0.03,0.05
5047,-2.16,-2.15,-0.06,0.0,0.0,0.0,0,5000,-0.05,-0.06
5067,-1.90,-2.14,0.02,0.0,0.0,0.0,0,5004,0.06,0.08
5087,-2.23,-2.14,0.00,0.0,0.0,0.0,0,5004,0.08,0.05
5107,-2.01,-2.14,-0.06,0.0,0.0,0.0,0,5000,0.09,-0.06
5128,-2.22,-2.14,0.03,0.0,0.0,0.0,0,5004,-0.02,-0.02
5148,-2.02,-2.14,0.08,0.0,0.0,0.0,0,5000,-0.03,0.00
5169,-2.29,-2.15,0.05,0.0,0.0,0.0,0,5004,0.02,-0.03
5189,-2.05,-2.14,0.08,0.0,0.0,0.0,0,5004,-0.03,0.03
5210,-2.08,-2.14,-0.02,0.0,0.0,0.0,0,5000,0.03,0.09
5230,-2.32,-2.14,0.02,0.0,0.0,0.0,0,5000,-0.06,0.05
5251,-2.30,-2.14,0.06,0.0,0.0,0.0,0,5000,-0.02,0.02
5271,-2.17,-2.14,0.08,0.0,0.0,0.0,0,5000,-0.03,-0.02
5292,-2.20,-2.14,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
5312,-1.98,-2.14,0.06,0.0,0.0,0.0,0,5004,-0.02,-0.03
5332,-2.31,-2.14,-0.08,0.0,0.0,0.0,0,5000,-0.02,-0.05
